,"Project title",Country,"Project status",Themes,"Multi sites","Bank and bed modifications measure","River corridor measure","Channel pattern measure","Other technical measure","Management interventions","Social measure","Wider engagement measure"
"Case study:Beekherstel Buurserbeek","Beekherstel Buurserbeek",Netherlands,Complete,"Environmental flows and water resources,Flood risk management,Habitat and biodiversity,Monitoring",No,"Vergraven van de oever","Dood hout inbreng",,,,,
"Case study:Beekherstel Eefsebeek","Beekherstel Eefsebeek",Netherlands,"In progress","Habitat and biodiversity,Monitoring",No,Stroombaanmaaien,,,,,,
"Case study:Beekherstel Keersop","Beekherstel Keersop",Netherlands,"In progress","Environmental flows and water resources,Hydromorphology",No,"Hout in de beek",Beschaduwing,,,,,
"Case study:Beekherstel Lactariabeek","Beekherstel Lactariabeek",Netherlands,Complete,"Environmental flows and water resources",No,,"Dead wood deposition",,,,,
"Case study:Beekherstel Reusel Baarschot-Diessen","Beekherstel Reusel Baarschot-Diessen",Netherlands,"In progress","Environmental flows and water resources,Habitat and biodiversity,Hydromorphology",No,Stroombaanmaaien,,,"Traditioneel Beekherstel",,"Versterken van het landschap,cultuurhistory en recreatie","Er worden gebiedsbijeenkomsten gehouden voor belanghebbende"
"Case study:Beekherstel Willinkbeek","Beekherstel Willinkbeek",Netherlands,Complete,"Environmental flows and water resources,Habitat and biodiversity,Monitoring",No,"Puinbestorting verwijderd",,,,,,
"Case study:Beekherstel Zuidelijk Afwateringskanaal","Beekherstel Zuidelijk Afwateringskanaal",Netherlands,"In progress","Habitat and biodiversity,Monitoring",No,Stroombaanmaaien,,,,,,
"Case study:Beneden-Berkel",Beneden-Berkel,Netherlands,"In progress","Habitat and biodiversity,Land use management - agriculture,Water quality",No,,,,,,,
"Case study:Beneden-Leeuwen-Side channel","Beneden-Leeuwen-Side channel",Netherlands,Complete,"Habitat and biodiversity,Monitoring,Water quality",No,"Bank reprofiling",,"Side channel created,Creation of backwater",,"More natural water retention",,
"Case study:Biodiversity conservation and recovery in the river basin Asón","Biodiversity conservation and recovery in the river basin Asón",Spain,Complete,,No,"Weir removal","Removal of exotic plants",,,"Management for increase species like Lepus europaeus,Capreolus capreolus,Columba palumbus andAguila chrysaetos","Surveillance patrols managed fire risk and hunting","Interpretive centre was set up"
"Case study:Bird Reserve “Tancat de la Pipa” (Valencia)","Bird Reserve “Tancat de la Pipa” (Valencia)",Spain,"In progress","Environmental flows and water resources,Habitat and biodiversity,Land use management - agriculture,Monitoring,Social benefits,Water quality",Yes,"Green filters creation and two shallow,permanent lagoons",,,,"Channels,vegetation and maintenance active,daily management","Sensitization,environmental education of scholars,public use and elaboration of dissemination materials","Improvement of the socio-economic and other culture heritage network"
"Case study:Bird reserve “El Clot” (Tarragona)","Bird reserve “El Clot” (Tarragona)",Spain,"In progress","Environmental flows and water resources,Habitat and biodiversity,Land use management - agriculture,Social benefits,Spatial planning",Yes,,,,,"Habitat improvement through water and vegetation management","Scientific bird banding workshops,activities performed by volunteers,environmental awareness","Advice of local farmers"
"Case study:Bird reserve “Finca San Miguel” (Huesca)","Bird reserve “Finca San Miguel” (Huesca)",Spain,"In progress","Environmental flows and water resources,Habitat and biodiversity,Land use management - agriculture,Social benefits,Spatial planning",Yes,,,,,"Grants from the Administration,Tracing of aquatic birds,Surveillance,prevention and monitoring of poaching.","Sensitization,awareness campaigns and elaboration of dissemination materials","Crops from the private property for nesting and alimentation"
"Case study:Bird reserve “Las Marismas Blancas” (Cantabria)","Bird reserve “Las Marismas Blancas” (Cantabria)",Spain,"In progress","Environmental flows and water resources,Habitat and biodiversity,Social benefits,Spatial planning",Yes,,"Implantation of amphibian ponds,fenced construction for won,elimination of invasive species,installation of artificial islets.",,,"Town hall workers","Sensitization,awareness campaigns and elaboration of dissemination materials",
"Case study:Bird reserve “O Grove” (Pontevedra)","Bird reserve “O Grove” (Pontevedra)",Spain,"In progress","Environmental flows and water resources,Habitat and biodiversity,Social benefits,Spatial planning",Yes,,,,,"Grants and help from town hall","Sensitization,awareness campaigns and elaboration of dissemination materials",
"Case study:Bird reserve “Riet Vell” (Tarragona)","Bird reserve “Riet Vell” (Tarragona)",Spain,"In progress","Environmental flows and water resources,Habitat and biodiversity,Land use management - agriculture,Social benefits,Spatial planning",Yes,,"Stablish crops of ecologic rice,regenerate habitats of wetlands enviroments,recover local vegetation and conserve aquatic birds",,,,"Sensitization,awareness campaigns and elaboration of dissemination materials","Advice from farmers"
"Case study:Buiten Ooij","Buiten Ooij",Netherlands,Complete,"Economic aspects,Habitat and biodiversity,Monitoring,Water quality",No,,"Water release into floodplain in winter,Closing of sluice in summer,Future floodplain lowering","Creation of side channel",,"more natural reservoir releases",,
"Case study:Conservation the public water domain in the Tajo basin, t. m. Alcocer, province of Guadalajara.","Conservation the public water domain in the Tajo basin, t. m. Alcocer, province of Guadalajara.",Spain,Complete,"Fisheries,Hydromorphology",No,"Creation of fish ladders",,,,,,
"Case study:Control and permeabilization of the marsh to the river, the Brazo de la Torre and Entremuros","Control and permeabilization of the marsh to the river, the Brazo de la Torre and Entremuros",Spain,Complete,"Environmental flows and water resources,Monitoring,Water quality",No,"Construction of a defensive wall to prevent river pollution,After decontamination,removal of the defensive wall",,,,,,
"Case study:Creating a fishpass at Włocławek dam","Creating a fishpass at Włocławek dam",Poland,Complete,"Habitat and biodiversity,Hydropower",No,"Creation of fish passes,Construction of a stabilising stone ramp",,,,,,"Monitoring system in fish pass"
"Case study:Design and Application of a Sustainable Soil Management Model for Orchard Crops in the Doñana National Park Area","Design and Application of a Sustainable Soil Management Model for Orchard Crops in the Doñana National Park Area",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Social benefits,Water quality",No,,,,"Improving water quality","Create a dynamic model of active participation of farmers in land management",,
"Case study:Ecological restoration of The Arboleda and the Meander of Santes Creus. Aiguamúrcia municipality (Alt Camp). Gaia River Basin","Ecological restoration of The Arboleda and the Meander of Santes Creus. Aiguamúrcia municipality (Alt Camp). Gaia River Basin",Spain,Complete,"Habitat and biodiversity,Hydromorphology",No,"Removal of rip-rap,Bank stabilisation","Removal of exotic plants",,"Removal of rubbish",,,
"Case study:Environment-friendly Reduction of Flood Risk in the Multi-thread Reach of the Czarny Dunajec River","Environment-friendly Reduction of Flood Risk in the Multi-thread Reach of the Czarny Dunajec River",Poland,Complete,"Flood risk management,Hydromorphology",No,"Opening inlets to side channels,Creation of gravel deflectors",,,,,,
"Case study:Environmental Restoration of Olivar-El Zaudin Metropolitan Park in Tomares","Environmental Restoration of Olivar-El Zaudin Metropolitan Park in Tomares",Spain,Complete,"Habitat and biodiversity,Hydromorphology,Social benefits,Spatial planning",No,"Conditioning of the banks of the stream and lagoons.","Elimination of allochthonous plant species",,"General cleaning of the area,removal of rubble and rubbish; Reforestation of the Park with local plant species (and equipped with an irrigation network); improve existing roads and paths (3.65 km) and new pedestrian paths were planned (3.65 km); Urban furniture; Construction of a small building located in a point of maximum elevation that allows the observation of the environment",,"Metropolitan park (social engagement); Bird observatory and recovery,organization of workshops and events for schools and other groups,exhibitions on the fauna and flora of the area",
"Case study:Environmental Restoration of the Lower Section of the Bembézar River and its River Environment (Phase 1)","Environmental Restoration of the Lower Section of the Bembézar River and its River Environment (Phase 1)",Spain,"In progress","Habitat and biodiversity,Land use management - forestry,Monitoring,Social benefits",No,"Actions to improve the natural environment: Cleaning of the riverbed and the riverbank; Removal of dead vegetation and cleaning of rubbish.","Actions to improve the natural environment: Restoration of the autochthonous riverside vegetation in the sections in which the reedbed is present. It is responsible for the degradation of the autochthonous vegetation,in an area which should be a riverside forest with species closer to the ecological climax; Removal of ailanthus and other invasive exotic species.",,,,"Actions of integration in a river area: Construction of a pedestrian path 2 meters wide and 3,080 meters long along the riverside forest of the Bembézar River; Construction of a footbridge over the river and improvement of difficult passageways along the path. Improvement of infrastructures for public use: Cleaning of vegetation of the existing Medieval Bridge in the Bembézar riverbed.",
"Case study:Environmental Restoration of the Riopudio Stream in Sevilla","Environmental Restoration of the Riopudio Stream in Sevilla",Spain,Complete,"Environmental flows and water resources,Land use management - forestry,Spatial planning",No,"Land movement (the design of the conditioning of the riverbed has been adapted to the natural conformation of the stream with slopes to avoid erosion and facilitate its subsequent revegetation); Defense of the riverbanks ( the breakwater structures foreseen in the project have been placed in order to guarantee the structural stability and the collapses to the riverbed).","shrub vegetation along the stream area,speacilly the abundant of two currently invasive plants (Arundo donax and Ricinus communis) as well as tall ruderal scrubs;  Environmental restoration (eliminating invasive species and weeds by clearing them,while preserving and improving the aerial structure of those specimens and copses that are within the areas to be revegetated and which,due to their ecological value,shall be to maintained)",,"Landscaping and cleaning of the area (rubble removal,abandoned houses and uncontrolled dumping); construction of Canadian crossings to prevent the entry of livestock and the enclosure with livestock mesh that protects the planted area and physically delimits it; Wooden footbridges; Public footpaths; Five recreation areas for rest and lesure (equipped with parking areas next to public pathways access,rest areas with urban furniture,trees that allow activities in the shade,containers,rustic bicycle parking and interpretive posters); staggered  bollards",,,
"Case study:Environmental improvement intervention in a reach Anzur River in the village of El Nacimiento, in the Municipality of Rute (Cordoba)","Environmental improvement intervention in a reach Anzur River in the village of El Nacimiento, in the Municipality of Rute (Cordoba)",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology",No,"Bank stabilisation,Prevent and reduce bank erosion with live stakes","Silvicultural treatments","Protection and correction of incision problems,Improvement of channel morphology",,,,
"Case study:Environmental improvement project of the stream of Ruby","Environmental improvement project of the stream of Ruby",Spain,Complete,"Habitat and biodiversity,Urban",No,"New bioengineering elements in order to stabilize slope banks,Revetmens with local species","Restoring riparian vegetation",,,,,
"Case study:Environmental regeneration project in Magro river bed","Environmental regeneration project in Magro river bed",Spain,Complete,,No,,,,"Selective removal of organic muds and sludge contaminated with toxic","Cleaning channels","Conditioning roads,Improved public access",
"Case study:Environmental restoration of the lower section of the river Narcea in the municipalities of Salas and Pravia (Asturias)","Environmental restoration of the lower section of the river Narcea in the municipalities of Salas and Pravia (Asturias)",Spain,Complete,"Environmental flows and water resources,Flood risk management,Habitat and biodiversity,Hydromorphology,Land use management - forestry",No,"Revetmens with local species,New bioengineering elements in order to stabilize slope banks,Removal of invasive plants","Riparian planting,Silvicultural treatments","Re-instatement of old course",,"Promotion and management of tourism in the river","Information panels for people,New pahts near the river",
"Case study:Environmental restoration of the river Zújar","Environmental restoration of the river Zújar",Spain,Complete,,Yes,"Recovery of channel morphology",,"Protecting and promoting wildlife,Assessment and monitoring program","Conditioning of recreational areas",,,
"Case study:Environmental restoration project of the Guadajoz River (Castro del Río, Andalusia)","Environmental restoration project of the Guadajoz River (Castro del Río, Andalusia)",Spain,Complete,,No,"Bank stabilisation,New bioengineering elements in order to stabilize slope banks,Revetmens with local species",,"Protection and correction of incision problems",,,,
"Case study:Fluvial improvement in Riera de Caldés","Fluvial improvement in Riera de Caldés",Spain,Complete,"Environmental flows and water resources,Hydromorphology,Water quality",No,"Removal of rip-rap,New bioengineering elements in order to stabilize slope banks","Riparian planting,Removal of exotic plants",,,,,
"Case study:Fluvial longitudinal continuity recovery in river Aguanaz, Cantabria, Spain","Fluvial longitudinal continuity recovery in river Aguanaz, Cantabria, Spain",Spain,Complete,"Fisheries,Habitat and biodiversity,Hydropower,Hydromorphology",No,"Weir removal",,,"Improvement of local paths and river banks",,,
"Case study:Fluvial restoration in River Carrión","Fluvial restoration in River Carrión",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology",No,"New bioengineering elements in order to stabilize slope banks,Deflectors,Creation of wooden deflectors,Creation of gravel deflectors,Bed load addition,Bank reprofiling",,,,,,
"Case study:Fluvial river restoration of Tordera in Sant Celoni","Fluvial river restoration of Tordera in Sant Celoni",Spain,Complete,"Environmental flows and water resources,Fisheries,Habitat and biodiversity,Land use management - agriculture",No,"Removal of invasive plants,Riverbank revegetation","Riparian planting,Habitat creation",,,,"Awareness raising",
"Case study:Guadiamar Green Corridor Project","Guadiamar Green Corridor Project",Spain,Complete,"Environmental flows and water resources,Fisheries,Habitat and biodiversity,Water quality",No,"Recovering connectivity longitudinal and transversal","Buffer strips,Recovery of dynamic river system,Restoring riparian vegetation","Remove drains and pipes","Elimination of pollutants due to the discharge of toxic sludge,Recovering natural habitats,Recovering natural landscapes",,,
"Case study:Guadiato Life project Model for restoring and integrating water resources in a mining area, actions for an alternative development","Guadiato Life project Model for restoring and integrating water resources in a mining area, actions for an alternative development",Spain,Complete,"Economic aspects,Habitat and biodiversity,Hydromorphology,Social benefits",No,,"Reforestation and restoration of watercourses,Restoring riparian vegetation",,"Install a ""green filter"" to treat waste water",,"Improve forest management and agricultural,Community Education","Agenda 21"
"Case study:Herinrichting Beekloop","Herinrichting Beekloop",Netherlands,Complete,"Environmental flows and water resources,Fisheries,Hydromorphology,Land use management - agriculture",No,"Dood hout,Vispassages",Beschaduwing,,,,"Afspraken met belanghebbende waterverdeling",
"Case study:Herinrichting beekdal Tongelreep","Herinrichting beekdal Tongelreep",Netherlands,Complete,"Environmental flows and water resources,Fisheries,Habitat and biodiversity,Hydromorphology",No,"Dood hout,Grind bedden",,,"Bouwen met Natuur",,,
"Case study:Hierdense Beek","Hierdense Beek",Netherlands,"In progress","Habitat and biodiversity,Hydromorphology,Land use management - agriculture,Land use management - forestry,Monitoring",No,"Sand deposit,dead wood deposit",,,Shading,"Mowing management",,
"Case study:INTERREG MED WETNET – Management Plan for the Cañizar Lagoon (ARAGON)","INTERREG MED WETNET – Management Plan for the Cañizar Lagoon (ARAGON)",Spain,Complete,"Fisheries,Habitat and biodiversity,Land use management - agriculture,Land use management - forestry,Spatial planning",No,,"Conservation measures and environmental improvement",,,"Environmental integration measures and agricultural uses; Environmental integration measures and livestock uses; Environmental integration measures and tourism uses; Environmental integration measures and public uses (hunting,fishing ...).",,
"Case study:INTERREG MED WETNET – Odiel Marshes Wetland Contract and Action plan","INTERREG MED WETNET – Odiel Marshes Wetland Contract and Action plan",Spain,Complete,"Economic aspects,Environmental flows and water resources,Habitat and biodiversity,Monitoring,Social benefits,Spatial planning",No,,"Recovery,conservation and valorisation of Cárdenas marshes",,"Rehabilitation and valorisation of the Cojillas tidal mill; Connection project and use of livestock tracks and rural roads as green corridor; Enhancement of the connection marsh-city in front of 26 de Abril de 1963 square and estuary promenade; Project for the connection and use of livestock tracks and rural roads as green corridors (Odiel river border to the hanging bridge of a-49); Enhancement of the marsh-city connection in front of the San Felice de Circeo promenade and the surroundings of the Tejar stream",,"Environmental education campaigns on the Odiel marshes; “Marismas del Odiel,Cero es Más” campaign; Sustainable tourism in the Odiel marshes biosphere reserve","Eco-innovation (ECOMO) Odiel marshes (incubator and accelerator of eco-entrepreneurs and green employment); Promotion of green infrastructures,connected to the ""Biosphere Reserve Brand"""
"Case study:INTERREG MED WETNET- Albufera de Valéncia Memorandu of Cooperation for Wetland Contract","INTERREG MED WETNET- Albufera de Valéncia Memorandu of Cooperation for Wetland Contract",Spain,Complete,"Environmental flows and water resources,Flood risk management,Hydromorphology,Land use management - agriculture,Monitoring,Social benefits,Water quality",No,,"Restoration and improvement of connections from natural springs; Land purchase and restoration aiming the increase of green filters and artificial wetlands around the lagoon","Ensuring an additional contribution to l’Albufera of water from the Júcar-Túria system through rapid flushing technical discharges; Increase the proportion of water inputs to l’Albufera from rivers with respect to the water inputs from sewage and treatments plants; Preserve contributions from Xúquer,Turia and treatment plants,controlling  water quality; Improvement of the winter flood conditions and mainteneance; Improvement of the management of the lagoon gates to maintain adequate levels; Adaptation and maintenance of public irrigation systems for the contribution of water to the wetland","Improve and adapt existing sanitation infrastructure,especially those oriented to the West Collector; Construction of storm tanks and tune up of those already constructed","Improvement of agri-environmental practices; Establish a protocol for the use of the ditches of the Sueca Irrigators Community to connect the Sueca irrigation system to the lagoon out of the rice growing season; The approval of the legal management instruments: plans related to the Water Framework Directive (Júcar River Basin Plan) and the Nature Directives (Natura 2000 SAC); the maintenance of the productivity of the agricultural system and the actions to deal with salinization and the negative effects of climate change on crops,specially rice farming; promotion of active management of the cultural resources and heritage of the wetland; definition of a plan for sustainable public use and dealing,if necessary,actions of sustainable mobility.","Promotion of meeting and consultation spaces,such as the creation of a virtual information center accesible to all stakeholders; Improvement of coordination with irrigation communities,fishermen's associations and other groups involved; and the creation of a more inclusive wetland management body.","Definition of environmental objectives and indicators and monitoring program."
"Case study:Improved longitudinal continuity of the Lozoya River, upstream the Pinilla dam (Madrid)","Improved longitudinal continuity of the Lozoya River, upstream the Pinilla dam (Madrid)",Spain,Complete,"Fisheries,Flood risk management,Habitat and biodiversity",No,"Lowering of lateral slopes,Weir removal,Removal of sediment","Riparian planting,Conditioning access",,,,,
"Case study:Improvement of ecological state of the river Pisuerga between the dam of Aguilar de Campo and Alar del Rey (Palencia) - 1st Stage.","Improvement of ecological state of the river Pisuerga between the dam of Aguilar de Campo and Alar del Rey (Palencia) - 1st Stage.",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology",No,"Bank stabilisation,Restoration of natural vegetation","Improve longitudinal connectivity",,"Fish habitat restoration",,"Improved network of trails,Information panels for people",
"Case study:Improvement of the Terri River in the industrial zone (Phase I and II)","Improvement of the Terri River in the industrial zone (Phase I and II)",Spain,Complete,"Flood risk management,Habitat and biodiversity,Hydromorphology",No,"Recess side slopes,Barrier removal","Removal of exotic plants,Creation of a flood expansion area,Restoring riparian vegetation",,,,,
"Case study:Improving the ecological status of the Black River and tributaries (Zamora)","Improving the ecological status of the Black River and tributaries (Zamora)",Spain,Complete,"Fisheries,Flood risk management,Habitat and biodiversity",No,"Revetments with local species,Creation of fish ladders","Develop riparian forest",,,,,
"Case study:Increased biodiversity, river Llobregat, Sallent.","Increased biodiversity, river Llobregat, Sallent.",Spain,Complete,"Environmental flows and water resources,Flood risk management,Habitat and biodiversity,Hydromorphology",No,"Embankment creation,Revetments with local species","Silvicultural treatments,Habitat creation",,,,"New pahts near the river",
"Case study:International recovery of the river Minho: an example of sustainable hydraulic exploitation","International recovery of the river Minho: an example of sustainable hydraulic exploitation",Spain,Complete,"Fisheries,Habitat and biodiversity,Hydromorphology",No,,,"Creation of fish passes,Improving fish migration",,,,
"Case study:Inturia dam removal","Inturia dam removal",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydropower",No,"Dam removal",,"Creation of solid flow regime",,,"Creation of a path alongside the river,Creation of viewpoint with photos and data of the dam removal",
"Case study:Keent",Keent,Netherlands,Complete,"Flood risk management,Habitat and biodiversity,Land use management - agriculture",No,"Connection between river channel and former side branches,Riverbed dug out",,,,Grazing,"Creation of visitors centre,Exposition about the past of Keent",
"Case study:Klassiek beekherstel Astense Aa","Klassiek beekherstel Astense Aa",Netherlands,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology,Water quality",No,,,,"Traditioneel beekherstel",,,
"Case study:Kleine Aa, traject Smalwater Noord","Kleine Aa, traject Smalwater Noord",Netherlands,Complete,"Habitat and biodiversity,Spatial planning",No,,,,,,,
"Case study:LIFE Segura Riverlink (Through rivers)","LIFE Segura Riverlink (Through rivers)",Spain,Complete,"Fisheries,Flood risk management,Habitat and biodiversity,Hydromorphology,Monitoring",No,"Planting of native species,Removal of invasive species,Structuring of shoreline,Weir removal,Creation of fish passes","Improving fish migration,Alloctone species control",,,"Management of undesirable plant species,Implementation of best practice land & soil management,Promotion of riparian vegetation and natural re-growth of bankside,Riparian tree planting,Removal of invasive species","Volunteer engagement,Creation of a Land Stewardship Network,Community education (talks and workshops",
"Case study:La Gotera dam removal","La Gotera dam removal",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydropower,Hydromorphology",No,"Dam removal,Reconnection of river",,,,"capture of fish prior to the works",,
"Case study:Llobregat river restoration","Llobregat river restoration",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology,Social benefits",No,"Revetmens with local species,Bank stabilisation","Riparian planting,Control of invasive species,Silvicultural treatments","Remove obstacles in the riverbed",,,,
"Case study:Lunterse Beek","Lunterse Beek",Netherlands,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology,Land use management - agriculture,Monitoring,Water quality",No,"Dead wood deposit,Sand deposit",,,,,,
"Case study:Millingerwaard-Floodplain rehabilitation","Millingerwaard-Floodplain rehabilitation",Netherlands,"In progress","Habitat and biodiversity,Monitoring,Water quality",No,"Bank reprofiling","Riparian planting,Creation of river dunes,Increase water retention area",,,,,
"Case study:Ontpoldering Noordwaard","Ontpoldering Noordwaard",Netherlands,"In progress","Flood risk management,Habitat and biodiversity,Social benefits",No,"Lowering of dike,Moving dikes more inward",,,,"Placing buildings on terps","Creation of opportunities for walking,cycling and canooing",
"Case study:Opijnen- Side channel","Opijnen- Side channel",Netherlands,Complete,"Habitat and biodiversity,Monitoring,Water quality",No,"Improvement of natural flows",,"Creation of side channel",,,,
"Case study:Proposal for landscape and environmental improvement of the canal of Sils","Proposal for landscape and environmental improvement of the canal of Sils",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity",No,"Revetmens with local species,New bioengineering elements in order to stabilize slope banks",,,"Remove the old small bridge,New small bridge made of wood",,,
"Case study:RIVER RESTORATION PROJECT OF THE OLD SEGURA RIVER BED IN THE VIVILLO MEANDER (MURCIA)","RIVER RESTORATION PROJECT OF THE OLD SEGURA RIVER BED IN THE VIVILLO MEANDER (MURCIA)",Spain,"In progress","Environmental flows and water resources,Flood risk management,Habitat and biodiversity,Hydromorphology,Land use management - agriculture,Land use management - forestry,Social benefits,Spatial planning,Urban,Water quality",No,"Right bank maintains the existing levee,Left bank turns with the old meander,Current levee elevation is mantained","Habitat restoration,Planting of autochthonous vegetation","Modification of existing defenses,restoration of the old meander",,,,
"Case study:Recovery ""CañoTravieso""","Recovery ""CañoTravieso""",Spain,Complete,"Environmental flows and water resources,Monitoring,Water quality",No,,"Habitat restoration","Modification or removal of existing defenses,Channel naturalisation,Improvement of channel morphology",,"Environmental restoration of the area integral transformed by agriculture",,
"Case study:Recovery of the functionality of Brazo de la Torre","Recovery of the functionality of Brazo de la Torre",Spain,Complete,"Environmental flows and water resources,Monitoring,Water quality",No,"Revetmens with local species,Removal of sediment,Partial dredging of the channel to allow tidal flow","Habitat restoration,Dam removal",,,,,
"Case study:Regeneration of the banks of the river Mape","Regeneration of the banks of the river Mape",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology,Social benefits",No,"Revetmens with local species","Removal of exotic plants",,,"Custody of territory","Recovering the historical and cultural heritage linked to the river",
"Case study:Restoration of Viejas River from the outlet of the fish farm to its mouth","Restoration of Viejas River from the outlet of the fish farm to its mouth",Spain,Complete,"Environmental flows and water resources,Flood risk management,Hydropower,Hydromorphology",No,"Dam removal",Revegetation,,,,,
"Case study:Restoration of a section of Torrente de Can Sunyer passing through Martorelles","Restoration of a section of Torrente de Can Sunyer passing through Martorelles",Spain,Complete,"Habitat and biodiversity,Land use management - forestry,Social benefits",No,"New bioengineering elements in order to stabilize slope banks","Removal of exotic plants,Restoring riparian vegetation",,,,,
"Case study:Restoration of a stream of the Jarama River, Valdetorres de Jarama","Restoration of a stream of the Jarama River, Valdetorres de Jarama",Spain,Complete,,No,"Lowering of lateral slopes","Riparian planting",,,,,
"Case study:Restoration of a stretch of the river of Santa Coloma","Restoration of a stretch of the river of Santa Coloma",Spain,Complete,"Habitat and biodiversity,Hydromorphology",No,"New bioengineering elements in order to stabilize slope banks","Removal of exotic plants,Restoring riparian vegetation",,,,,
"Case study:Restoration of riparian zone in Aragon River","Restoration of riparian zone in Aragon River",Spain,Complete,"Habitat and biodiversity,Land use management - agriculture,Social benefits",No,"New bioengineering elements in order to stabilize slope banks","Habitat creation,Restoring riparian vegetation",,,"Improve forest management and agricultural",,
"Case study:Restoration of streams Chico Soto, Soto Grande and Arroyo de la Laguna de los Reyes","Restoration of streams Chico Soto, Soto Grande and Arroyo de la Laguna de los Reyes",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Monitoring,Water quality",No,"Restoration of natural vegetation",,"Topographic and landscape restoration,Decrease sedimentation","Restoring the natural hydrological regime",,,
"Case study:Restoration of the marsh ""Gallega""","Restoration of the marsh ""Gallega""",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Hydromorphology,Monitoring",No,,,"Improvement of channel morphology,Habitat restoration","Permeabilize the side wall of the FAO",,,
"Case study:Restoration of the river area of the section of Betzuca stream","Restoration of the river area of the section of Betzuca stream",Spain,Complete,"Environmental flows and water resources,Flood risk management,Habitat and biodiversity,Hydromorphology",No,"Landscape integration of the breakwater,New bioengineering elements in order to stabilize slope banks","Creation of pond",,,,,
"Case study:Restoration of the stream of Vallicrosa in the section of the source of Pic","Restoration of the stream of Vallicrosa in the section of the source of Pic",Spain,Complete,"Environmental flows and water resources,Habitat and biodiversity,Urban",No,"New bioengineering elements in order to stabilize slope banks,Removal of concrete banks and bed,Revetments with local species","Restoring riparian vegetation",,,,,
